,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
80.0,5.400119999999999,2.8692225000000002,3.1169800000000003,4.48609,1023.45,278.1,1226.6,10,10,10,10,10,10,10
81.0,5.4004475,2.86234,3.0983699999999996,4.48495,1024.55,281.25,1228.8,10,10,10,10,10,10,10
82.0,5.4007974999999995,2.8555025,3.07987,4.48391,1025.15,283.625,1232.0,10,10,10,10,10,10,10
83.0,5.4011450000000005,2.8487149999999994,3.0613900000000003,4.48293,1026.05,285.6,1236.0,10,10,10,10,10,10,10
84.0,5.401505000000001,2.8419575000000004,3.0429700000000004,4.48206,1026.75,287.975,1239.3,10,10,10,10,10,10,10
85.0,5.401882499999999,2.8352324999999996,3.0246000000000004,4.481260000000001,1027.65,290.575,1243.3,10,10,10,10,10,10,10
86.0,5.402279999999999,2.8285575,3.0062900000000004,4.48055,1028.95,292.9125,1247.0,10,10,10,10,10,10,10
87.0,5.402685,2.8219250000000002,2.9880400000000003,4.47991,1029.85,294.925,1250.9,10,10,10,10,10,10,10
88.0,5.403097499999999,2.815315,2.9698499999999997,4.47934,1030.95,297.075,1254.1,10,10,10,10,10,10,10
89.0,5.4035325,2.8087574999999996,2.95171,4.478869999999999,1032.65,299.2,1259.2,10,10,10,10,10,10,10
90.0,5.40398,2.8022275,2.9336399999999996,4.47846,1033.95,301.225,1263.3,10,10,10,10,10,10,10
91.0,5.4044325,2.7957325000000006,2.9156099999999996,4.47814,1035.15,303.475,1267.4,10,10,10,10,10,10,10
92.0,5.4048975,2.7892725,2.8976600000000006,4.47787,1035.85,305.5,1271.1,10,10,10,10,10,10,10
93.0,5.405385000000001,2.7828600000000003,2.8797799999999993,4.477689999999999,1037.45,307.9625,1276.3,10,10,10,10,10,10,10
94.0,5.405869999999999,2.776485,2.86193,4.47761,1038.65,310.225,1280.4,10,10,10,10,10,10,10
95.0,5.406382499999999,2.7701225,2.84416,4.47753,1041.15,311.725,1284.3,10,10,10,10,10,10,10
96.0,5.406915,2.7638124999999993,2.82644,4.477580000000001,1042.25,313.575,1289.4,10,10,10,10,10,10,10
97.0,5.407445000000001,2.757515,2.8088,4.47768,1044.05,315.425,1292.5,10,10,10,10,10,10,10
98.0,5.40799,2.7512775,2.7912100000000004,4.47783,1046.15,316.975,1296.1,10,10,10,10,10,10,10
99.0,5.408552500000001,2.7450425,2.7736799999999997,4.47808,1047.55,319.1,1299.9,10,10,10,10,10,10,10
100.0,5.409127499999999,2.7388500000000002,2.75622,4.47838,1048.85,320.8,1303.8,10,10,10,10,10,10,10
101.0,5.409722499999999,2.7326974999999996,2.73883,4.47874,1049.95,322.225,1308.3,10,10,10,10,10,10,10
102.0,5.410315,2.7265674999999994,2.7215100000000003,4.47916,1051.45,323.875,1312.3,10,10,10,10,10,10,10
103.0,5.4109375,2.7204675000000003,2.704249999999999,4.47966,1053.25,325.425,1317.0,10,10,10,10,10,10,10
104.0,5.4115649999999995,2.714405,2.6870499999999997,4.48021,1055.95,327.525,1320.8,10,10,10,10,10,10,10
105.0,5.412204999999999,2.70837,2.6699200000000003,4.48082,1057.85,329.025,1325.3,10,10,10,10,10,10,10
106.0,5.4128549999999995,2.7023675000000003,2.65287,4.48149,1059.25,330.275,1329.1,10,10,10,10,10,10,10
107.0,5.4135225,2.6963874999999997,2.6359000000000004,4.482259999999999,1060.55,331.725,1332.6,10,10,10,10,10,10,10
108.0,5.4141975,2.690435,2.61899,4.48306,1062.45,332.975,1336.1,10,10,10,10,10,10,10
109.0,5.4148925000000006,2.6845149999999998,2.60211,4.4839,1063.55,334.25,1340.1,10,10,10,10,10,10,10
110.0,5.4156025,2.67862,2.58534,4.48482,1065.15,335.325,1344.1,10,10,10,10,10,10,10
